,Complaint,Complaint Catagory
1371,"Over Billing, No Reason Code For Excess Billing, Fraud - Imo",Billing
1372,Unreliable Internet Service,Internet
1373,Comcast Caught In 3 Lies,Other
1374,No Bill,Billing
1375,Bait And Switch Product Offerings For Internet Blast Service,Internet
1376,Comcast Charges Modem Rental But Modem Was Returned 3 Years Ago,Internet
1377,Comcast Internet,Internet
1378,Comcast Bundle Availability Complaint,Network
1379,Comcast Connection Issues,Internet
1380,Unauthorized Change In Charges,Billing
1381,Availabilty,Network
1382,Data Allowance,Network
1383,Comcast Billing Issues,Billing
1384,Comcast Data Usage - Deceptive Practice,Network
1385,Comcast'S Data Cap,Network
1386,"Comcast Is Limiting My Access To Data By Using ""Data Caps""",Internet
1387,Comcast Attempting To Circumvent Net Neutrality Policies,Other
1388,Comcast Data Cap,Network
1389,Comcast Downgraded Service With No Notification,Network
1390,Comcast Internet,Internet
1391,Comcast Data Caps In Currently Uncompetitive Nashville Market,Network
1392,Comcast- Not Responsive To Multiple Requests For Service,Internet
1393,Comcast Is Stealing From Me,Other
1394,Comcast Horrible Service,Network
1395,Intermittent Drops Of Service,Network
1396,Overage Charges,Billing
1397,Comcast Refund,Other
1398,Comcast Speeds Not As Advertised,Internet
1399,Comcast Data Cap,Network
1400,Comcast Internet,Internet
1401,Lost Internet Service,Internet
1402,Low Wifi,Internet
1403,Issue With Internet Speed,Internet
1404,Comcast Internet Complaint,Internet
1405,Internet Problems,Internet
1406,Comcast Service Problems For Months; Charging Without Fixng The Issue,Billing
1407,Horrible Customer Service; Could Not Help Me - Lied To By Supervisor,Network
1408,Comcast False Advertising,Grievance
1409,Comcast Business Internet,Internet
1410,Comcast Lied About Pricing And Installation,Billing
1411,Comcast- Unfair Pricing Tactics,Billing
1412,Overcharges,Billing
1413,Comcast Is A Monopoly,Other
1414,Comcast Is Cheating Me,Other
1415,Overcharged,Billing
1416,Comcast Business Phone/Internet Contract Disagreement,Internet
1417,Unable To Cancel Comcast Service,Network
1418,Misleading Information Regarding Contract Leads To $200 Unresolved Early Term Fee,Billing
1419,Comcast Issues,Other
1420,Internet Down,Internet
1421,Comcast Failure Of Service,Network
1422,Comcast Throttling My Internet Connection,Internet
1423,Billing/Service Issues,Billing
1424,10 Days No Service - 12 Appointments Comcast Hasn'T Shown Up - Comcast Has Not Fixed Home Infinity X1 - In 10 Days- Cannot Make 911 Calls,Network
1425,Internet Outages,Internet
1426,High Speed Internet Awful,Internet
1427,"Rude, Nasty, Customer Service Behavior, And A Three Year Failure To Deliver The Business Internet Services Paid For",Internet
1428,Comcast Failing Still,Other
1429,The Worst Customer Service Team And Negative Outlook On Customers!!!,Network
1430,Comcast,Other
1431,Comcast/Xfinity,Other
1432,Internet Problems,Internet
1433,Improper Billing,Billing
1434,Internet Being Slowed.,Internet
1435,Spotty Service Business Class Internet,Internet
1436,Bundled Cable And Internet,Internet
1437,Comcast Dishonest Marketing Scheme,Other
1438,"Sold One Service, Received Another",Network
1439,Internet Speed,Internet
1440,Home Shopping Network Emails,Network
1441,Comcast,Other
1442,Internet Speed,Internet
1443,Comcast Charging Too Much And Internet Speed Lower Than Ordered,Internet
1444,Ask Comcast To Fix Internet Connection Of My Home,Internet
1445,Comcast Scam,Other
1446,Comcast Service And Billing Issue,Billing
1447,Speed Throttling,Internet
1448,Bill To Damn High,Billing
1449,Comcast Data Usage Cap,Network
1450,Comcast - Internet Data Cap,Internet
1451,Comcast Service And Billing Issues,Billing
1452,Illegal Charges From Comcast,Billing
1453,Comcast,Other
1454,"Inconsistent, Low Speeds That Are Overpriced",Internet
1455,Bad Customer Service,Network
1456,Unable To Cancel Poor Internet Service,Internet
1457,Microsoft Is Limiting Service,Network
1458,Unethical Behavior: Comcast Requesting Credit Check Or Deposit,Other
1459,Unfair Bundles,Other
1460,Comcast,Other
1461,Years Of Packet Loss And Downtime,Other
1462,Comcast Run Around,Other
1463,Comcast Cablevision Florida,Internet
1464,Comcast,Other
1465,Poor Quality Service And Unauthorized Charges,Billing
1466,Comcast/Xfinity Cancellation Fee,Billing
1467,Comcast Billing And Speed.,Internet
1468,Data Cap Overages,Network
1469,Comcast Data Caps Are Killing The Internet,Internet
1470,Lied To By Comcast,Other
1471,Data Cap In Olive Branch Ms With Comcast,Network
1472,Data Cap,Network
1473,Comcast Internet Data Cap Segregation,Internet
1474,Inconsistent Internet Service,Internet
1475,"Comcast - Fraudulent Billing Practices, Unwilling To Resolve Situation",Billing
1476,Billing And Slowing Of Internet,Internet
1477,Internet And Tv Problems.,Internet
1478,Day 3 Of Internet Going Down And Disconnect Support Calls,Internet
1479,Internet Service Billing,Internet
1480,Forcing Customer To Pay An Incorrect Bill To Get It Fixed,Billing
1481,Comcast Billing/Pricing Practices,Billing
1482,Comcast Terrible Service #2,Network
1483,Bait And Switch Services For Monetary Gain,Network
1484,Comcast Xfinity Internet Performance,Internet
1485,Outrageous Internet Bill Adjustments From Comcast,Internet
1486,Comcast Cable/Phone/Internet Complaint,Internet
1487,Comcast Data Usage - Additional Fee For Internet Usage But Not Tv,Internet
1488,Billing Complaint,Billing
1489,Comcast,Other
1490,"Abysmal Customer Service, Do Not Approve Merger With Time Warner",Network
1491,Comcast Business Internet Service Down For 6 Days,Internet
1492,Billing,Billing
1493,Problems With Comcast,Other
1494,Internet Billing,Internet
1495,Comcast Billing,Billing
1496,Comcast,Other
1497,Comcast Billing,Billing
1498,Data Usage Limit,Network
1499,Data Cap Limitations,Network
1500,Comcast Service Rep Missed Appointment. I Missed A Very Important Family Gathering Because I Was Waiting On The Worker To Show.,Network
1501,Unfair Billing,Billing
1502,Throttle Internet,Internet
1503,"Comcast Phone, Internet And Tv",Internet
1504,Erroneous Charges On Comcast Bill,Billing
1505,Deceptive And False Contract On Business Comcast For Service Call,Billing
1506,Poor Service; Inaccurate Billing,Billing
1507,My Comcast Nightmare,Other
1508,Comcast Internet Bait And Switch,Internet
1509,"No Service, No Assistance",Network
1510,Comcast Is A Terrible Service,Network
1511,Comcast High-Speed Internet Does Not Work,Internet
1512,Comcast Billing & Customer Service,Billing
1513,Failure To Cancel Service,Network
1514,Unable To Return Equipment,Internet
1515,Unable To Return Equipment,Internet
1516,Slow Internet Speeds,Internet
1517,Comcast Keeps Hiking My Bill For No Reason !!,Billing
1518,Questionable Internet Slowdown,Internet
1519,Comcast,Other
1520,Advertised Internet Price Not Honored,Internet
1521,Data Cap Problems,Network
1522,Comcast Internet Overage Charges,Internet
1523,Surprise Data Caps From Comcast,Network
1524,Price Increase While On A Fixed Price Plan,Billing
1525,"Internet Price Went Up, Offered Lower Price Deal With Cable Tv...",Internet
1526,Comcast,Other
1527,Comcast Metro Fiber,Other
1528,Comcast,Other
1529,Terrible Experience With Comcast,Other
1530,Promotion Ended In One Month,Other
1531,Metered Bandwidth With No Data Meter,Network
1532,Comcast Data Cap,Network
1533,Speed,Internet
1534,Comcast (Xfinity); Larger Withdrawal On Automatic Payment Than Billed,Billing
1535,Inability To Add Service,Network
1536,No Internet Service,Internet
1537,Comcast Customer Service; Theft; Inconsistency,Network
1538,Comcast,Other
1539,Terrible Comcast Experience - No End In Sight,Other
1540,Comcast/Xfinity Customer Service,Network
1541,Comcast Is Blocking Hbo Go In Sony Platforms,Other
1542,Bundle,Other
1543,Comcast Blocking Hbo Go From Playstation 3 And 4,Other
1544,Cancelled Comcast Internet - Service And Billing Was Never Cancelled,Internet
1545,Terrible Service,Network
1546,Internet Connectivity And Speed,Internet
1547,Bad Internet Speeds,Internet
1548,Comcast,Other
1549,Comcast Billing Issues,Billing
1550,Comcast Refuses To Recognize Our Same Sex Marriage,Other
1551,Comcast Wifi Service,Internet
1552,Terrible Internet Quality,Internet
1553,Comcast Billing And Services,Billing
1554,Unfair Billing At Comcast,Billing
1555,Comcast Complaint,Grievance
1556,Internet Service Provider Billing Increase,Internet
1557,Was Liked To About The Speed And The Price That Was Offered To Me.,Internet
1558,Comcast,Other
1559,Stop The Cap,Network
1560,Comcast Quoted One Price Then Billed Another,Billing
1561,Poor Internet Quality,Internet
1562,Comcast Terrible Experience With No Resolution,Other
1563,Comcast Terrible Experience With No Resolution,Other
1564,Comcast Throttling Connection Speeds,Internet
1565,Comcast,Other
1566,Comcast Fraudulent Billing & Charges,Billing
1567,Unfair Pricing,Billing
1568,Comcast'S Unfair Billing And Pricing Practices,Billing
1569,Slowed Internet Speeds,Internet
1570,Comcast -- Throttling Connection,Internet
1571,"No Internet, Phone Or Cable Service",Internet
1572,Comcast Bundling Of Internet And Tv Services And Deceptive Sales Practices,Internet
1573,Comcast Price Inflation,Billing
1574,Comcast,Other
1575,Comcast,Other
1576,Slow Internet Speeds,Internet
1577,Bill Payment,Billing
1578,Comcast Service,Network
1579,Comcast Is Not Providing Service For Bad Internet,Internet
1580,Billing/Service Issues,Billing
1581,Comcast Billing Increase,Billing
1582,Charging For Service With Out Fixing The Problem,Billing
1583,I Do Not Have Internet And Work From Home,Internet
1584,Terrible Customer Service From Comcast,Network
1585,Internet Not Working,Internet
1586,"Expensive Service, Capped",Network
1587,Comcast Email Service,Network
1588,Comcast Deceptive Billing Practices,Billing
1589,Broadband Internet Service,Internet
1590,Comcast Blocks Hbogo From Sony Ps4 And Ps3 Devices,Other
1591,Communication Problem,Other
1592,Comcast - Unfair Billing Policies,Billing
1593,Bundle Bull S...,Other
1594,Unwarranted Charges By Comcast For Internet,Internet
1595,"Outage Of Internet Service 5/19/2015, And Attitude Of Cust Svc Rep",Internet
1596,No Internet Service,Internet
1597,Comcast Mislead Me And Cost My Business,Billing
1598,Comcast,Other
1599,Comcast Billing,Billing
1600,Comcast Misses 4 Appointments,Other
1601,Internet And Phone Service,Internet
1602,Comcast Billing (Primary) Service (Secondary),Billing
1603,Comcast'S Deceptive Billing,Billing
1604,Comcast Internet,Internet
1605,Comcast Internet Data Cap,Internet
1606,Comcast Blocking Hbo Content For Streaming.,Other
1607,Billing Issue,Billing
1608,Comcast Has A Monopoly On Our Internet,Internet
1609,Bait And Switch Again,Network
1610,Comcast Deceptive Business Class Billing,Billing
1611,Billing,Billing
1612,Internet/Cable Service,Internet
1613,"Comcast Theft, Lying, Horrible Service And Deception",Network
1614,Invalid Sercvice Charge,Billing
1615,Comcast Billing Complaint,Billing
1616,Comcast/Xfinity Blast Internet,Internet
1617,Comcast,Other
1618,Comcast Bandwidth Availability,Network
1619,Data Limit With Comcast,Network
1620,Excessive Billing,Billing
1621,Unable To Get Comcast To Provide Me With Broadband,Internet
1622,Loss Connection Internet Many Time In A Day.,Internet
1623,No Way To See When Promotions End,Other
1624,Comcast Not Connecting Me To Cancel Service And Raising Prices Unfairly,Billing
1625,Comcast - I'Ve Been Paying For Unnecessary Speeds When They Knew And I Did Not,Internet
1626,Comcast,Other
1627,Internet Bill Increase,Internet
1628,Comcast Bait And Switch,Network
1629,Comcast,Other
1630,Comcast Shut-Off Notice -Internet/Tv,Internet
1631,Cable Splitter Without Consent From Customer( Comcast),Internet
1632,E-Mail,Other
1633,Comcast Complaint,Grievance
1634,"Service, Billing",Billing
1635,Comcast Overcharges For Internet Charges,Internet
1636,Comcast,Other
1637,Comcast Data Caps,Network
1638,Comcast Data Usage Caps,Network
1639,Data Caps And Monthly Fees,Billing
1640,"Comcast Monopoly In Calvert County, Maryland",Other
1641,Comcast Speed,Internet
1642,Comcast Internet Billing,Internet
1643,Comcast Corporation,Other
1644,Comcast,Other
1645,Comcast/Xfinity Customer Service,Network
1646,Intermittent Expensive Connection,Internet
1647,Slower Internet Speeds Than What I Was Promised For My Pay.,Internet
1648,"Internet Connectivity Loss, Over 1000Ms Latency, Under 1Mbps Speeds",Internet
1649,Comcast Throttling,Internet
1650,Comcast Data Caps Are An End-Run Around Net Neutrality,Network
1651,Comcast Internet Disconnection,Internet
1652,Non Working Service,Network
1653,Internet Pricing /Competition,Internet
1654,Comcast Conplaints,Other
1655,Comcast Throttling Playstation.And Blocking Hbo Go,Internet
1656,Comcast/ Xfinity Unethical Business Practice,Other
1657,Comcast Blocking Hbo Go On Playstation Systems,Other
1658,Comcast Is A Downright Awful Service Provider.,Network
1659,Comcast Screwed Me,Other
1660,"Comcast Speed Not Matching, Blocked Phone Number",Internet
1661,Comcast,Other
1662,Tinternet Service Provider Complaint,Internet
1663,High Speed Internet,Internet
1664,Complaint About Comcast'S Hidden Fees And Unauthorized Charges,Billing
1665,Issues With Service And Payments,Billing
1666,Comcast Billing Dispute - Wireless Service,Internet
1667,Comcast Service Inadequacies,Network
1668,Internet Speed,Internet
1669,Internet/Tv Bundle Service,Internet
1670,Comcast Set Up,Other
1671,Unacceptable Business Internet Service From Comcast,Internet
1672,Poor Speed And Reliability,Internet
1673,"Possible Speed Throttling: Comcast Xfinity Richmond, Va",Internet
1674,Comcast Speed Throttling And More,Internet
1675,Comcast Ending Promotion And Contract Early. Directing Customer To Resolve Disputes In Person At Their Office.,Internet
1676,Shady Internet Billing Practices From Comcast,Internet
1677,Comcast Internet,Internet
1678,About Comcast,Other
1679,About Comcast,Other
1680,Comcast Data Cap,Network
1681,Internet Service Is Down For Three Weeks Now.,Internet
1682,Hbo Go On Ps3,Other
1683,Unfair Charges,Billing
1684,Data Cap On Internet Downloads?,Internet
1685,Comcast Speed,Internet
1686,Comcast Has Been Over Charging Us.,Billing
1687,Billing Issues,Billing
1688,Comcast Internet Service,Internet
1689,Comcast Billing And Service Issues,Billing
1690,Internet And Customer Service Problem With Comcast,Internet
1691,Lack Of Consistent Service,Network
1692,Interne Speed,Internet
1693,Comcast,Other
1694,Comcast Ordered Services That We Never Agreed To,Network
1695,Billing Dispute,Internet
1696,Comcast.Net,Other
1697,Comcast Taking Almost 9 Days To Solve My Internet Issue,Internet
1698,Failure To Provide Imstallation .... Rockville Maryland 20852,Other
1699,Internet Slow,Internet
1700,Predatory Billing By Comcast,Billing
1701,Comcast Xfinity Barely Ever Works And Speed Sucks,Internet
1702,Email Transfer/ Problems,Email
1703,Cramming Charges On My Phone/Internet Bill,Internet
1704,Throttled Internet Speeds,Internet
1705,Comcast Billing Problem,Billing
1706,Comcast Over Charges With No Notification,Billing
1707,Internet Availability,Internet
1708,Comcast Internet Usage Caps,Internet
1709,Comcast Service And Billing Issues,Billing
1710,Internet Outages,Internet
1711,Comcast Internet - Horrible Customer Service,Internet
1712,Comcast'S Customer Service Is Awful,Network
1713,Manipulative Billing Issue,Internet
1714,Comcast Advertised Wifi Internet Speed Not Provided False Advertisment,Internet
1715,Comcast'S Internet Is Slower Than What I Pay For,Internet
1716,Bad Practices,Other
1717,Over Billing Comcast,Billing
1718,Refusal To Rectify,Other
1719,Comcast,Other
1720,Cable Availability,Internet
1721,Data Usage With Comcast,Network
1722,Billing Dispute,Internet
1723,Re Complain Against Comcast Email And Telephone For Home Service,Network
1724,False Service,Network
1725,Misinformed Over And Over Again,Other
1726,Comcast/Xfinity,Other
1727,Comcast Blocking Hbogo On Playstation 4 Consoles,Other
1728,Comcast Internet Online Streaming,Internet
1729,False Information Given Just To Get Me Set Up Service,Network
1730,Comcast Speed Throttling Internet,Internet
1731,Possible Throttle,Internet
1732,Throttling And Disconnections,Internet
1733,Internet Offer Rescinded,Internet
1734,Internet Throttling,Internet
1735,Comcast,Other
1736,Comcast Are Crooks,Other
1737,Comcast Price Increase Not In Line With Advertisement,Billing
1738,Comcast Internet Service,Internet
1739,Intermittant Phone And Internet,Internet
1740,Comcast Etf Charge,Billing
1741,Being Charged For A Technician Fee,Billing
1742,Comcast Internet Service,Internet
1743,Availabilty,Network
1744,Internet,Internet
1745,Unauthorized 2-Year Contract With Comcast,Billing
1746,Unwanted Email With No Opt Out Options,Email
1747,Waive The Reoccuring Charges,Billing
1748,Difficulty With Internet Speeds,Internet
1749,Comcast Move,Other
1750,Monopolistic Billing,Billing
1751,Uncompetitive Pricing Of Comcast Internet Services,Internet
1752,Comcast Forced Me Into A Contract,Billing
1753,Comcast,Other
1754,Repeated Installation Issue With Comcast Internet Service,Internet
1755,Ecobill Discount,Billing
1756,Horrible Customer Service From Comcast,Network
1757,Comcast Internet,Internet
1758,Comcast,Other
1759,Comcast/Xfinity: Poor Internet Connection Speed And Poor Customer Service,Internet
1760,I Pay For 25Mbps Internet But Get Less Than 3Mbps,Internet
1761,Comcast - Billing For Service That They Cannot Provide,Billing
1762,Comcast Illegally Introduces Service Fees Without Notice Or Customer Consent,Billing
1763,Comcast Changed My Package And Wants Me To Pay More,Billing
1764,Comcast Throttling Or Otherwise Under-Delivering Internet Service.,Internet
1765,Comcast Refuses To Lower My Bill To Prevoius Agreement,Billing
1766,Billing And Deceitful Practices By Comcast,Billing
1767,Unfair Billing Practices Engaged By Comcast/Xfinity,Billing
1768,"Comcast Overcharging, Despite Regular Calls And Agreed Upon Price",Billing
1769,Unclear Quoted Speeds And Prices,Internet
1770,Comcast Billing Practices,Billing
1771,Internet Issues With Comcast,Internet
1772,Internet Speed,Internet
1773,Awful Internet,Internet
1774,Being Charged Incorrect Price,Billing
1775,False Billing,Billing
1776,Postal Mail Ticket - #0057,Other
1777,Comcast Xfinity Charges Consumer For Troubleshooting/Fixing Its Own Problems,Billing
1778,Recent Hacking Of Email Account,Email
1779,Comcast Billing,Billing
1780,Internet Service Termination,Internet
1781,Unnecessary Charge By Comcast For Technician Visit,Billing
1782,"Racist Customer Service From Manager Sonia And Employee Adriana Comcast Location ""999 Edgewater Blvd, Foster City, Ca 94404""",Network
1783,Fraudulent Use Of Credit Card And Credit Card Information,Other
1784,Reporting Comcast'S Various Problems,Other
1785,Comcast Billing Complaint,Billing
1786,Postal Mail Ticket #2334,Other
1787,Double Billing,Billing
1788,Refund Issues,Other
1789,Price Increase,Billing
1790,Comcast Unfair Product Bundling,Other
1791,Comcast Not Refunding Deposit For Cancelled Internet,Internet
1792,Comcast Artificially Inflating Prices Of Internet Only Services,Internet
1793,Extremely Slow Internet And No Aid From Comcast,Internet
1794,Throttling/Drastic Reduction Of Speeds,Internet
1795,Comcast Fraud,Other
1796,Comcast Forces Rep Visit Then Goes Back On Their Promise,Other
1797,Comcast Denies Providing Offered Service,Network
1798,Cable Internet Unavailable,Internet
1799,Unfair Pricing And Raising Of Pricing And Charging Without Permission,Billing
1800,Concern About Comcast Internet Modem Billing Practices,Internet
1801,Unfair Fees?,Billing
1802,Slow Internet Speed,Internet
1803,Comcast Changes Bill Prices Without My Consent,Billing
1804,False Claims Of Internet Speed Tier,Internet
1805,"Poor Interent Connection-Equipment Failure, Slow Speed",Internet
1806,Comcast False & Misleading Sale Practice,Grievance
1807,Misleading Sales Practice And Advertising,Other
1808,"Comcast Sold Me A ""Package"" Knowing It Wouldn'T Work For Me, And Proceeded To Charge Me More And Attempt To Tack On Fees For Their Mistake",Billing
1809,Comcast Bill Way Too High For Such Slow Speeds,Internet
1810,Comcast Blocking Hbo Go Access On Playstation 4,Internet
1811,"Comcast Xfinity Data Cap In Atlanta, Ga",Network
1812,Comcast Data Caps,Network
1813,Comcast Ignores My Requests To Cancel A Service And Instead Added Product To My Bill And Increased The Monthly Cost.,Billing
1814,Being Charged For High Speed Internet And Services Are Not Rendered,Internet
1815,Internet Unreliable,Internet
1816,Price Of Internet Service,Internet
1817,Closed Account,Other
1818,Comcast Inflated Internet Pricing,Internet
1819,Expensive Internet Service For Average Speed,Internet
1820,Comcast Pricing Practices,Billing
1821,Pricing And Lies,Billing
1822,Charge For Service They Won'T Deliver,Billing
1823,"Comcast Throttles Santa Cruz Ca To 30Mbits, Claims We Get 50Mbits",Internet
1824,"Comcast Misrepresenting Speeds In Santa Cruz, Ca",Internet
1825,Comcast Wrong Advertised Speeds,Internet
1826,Misrepresented Internet Speed,Internet
1827,Being Charged For Internet Speeds That Equipment Can Not Deliver,Internet
1828,Huge Number Of Lies From Comcast,Other
1829,Comcast Internet And Tv,Internet
1830,Poor Internet Reception,Internet
1831,Overcharging And Shitty Service,Billing
1832,Comcast Bait And Switch,Network
1833,Comcast Issues,Other
1834,Throttled Connection At Peak Time,Internet
1835,Comcast,Other
1836,Price Manipulation,Internet
1837,Charges For Internet Service Are Bogus,Internet
1838,Extremely Slow Comcast Internet Connection...Have Tried To Have Fixed But No One Comes,Internet
1839,Data Overages,Network
1840,Internet Service Disconnected Accidentally By Comcast Personnel. Poor Service.,Internet
1841,Intenet Advertised Rate Versus Customer Service Phone Quote With Comcast Xfinity,Billing
1842,Comcast,Other
1843,Customer Service & Billing,Billing
1844,Service Issues,Network
1845,Billing & Customer Service Issues,Billing
1846,Outrageous Billing Costs And Data Caps,Billing
1847,Falsifying Plan Rates And Charges,Billing
1848,Comcast Data Cap,Network
1849,Bait And Switch Service,Network
1850,Unable To Change My Service,Network
1851,Comcast Bill And Service Disclosure,Billing
1852,Comcast Harassment,Other
1853,Complaint Regarding Billing Practices,Billing
1854,Complaint Against Comcast For Provisioning Of Internet Service Ar Residential Address,Internet
1855,Install Gone Bad,Other
1856,Comcast'S Unfair Pricing,Billing
1857,Needed Tech Suport,Other
1858,Speed Misrepresentation,Internet
1859,Fraudulent Advertising,Other
1860,Deceptive Sales Practices,Other
1861,Comcast Trespassing,Other
1862,Internet Issues And Customer Service Issues,Internet
1863,Complaints Against Comcat,Grievance
1864,Charge For Equipment From Comcast I Was Not Made Aware When I Ordered It,Internet
1865,Xfinity Is Charging Me More Money For My Account Than What It Should Be,Billing
1866,Comcast,Other
1867,Failure Of Service From Comcast,Network
1868,Failure Of Service From Comcast,Network
1869,Comcast.,Other
1870,Internet Speeds Less Than What We Are Paying For After Canceling Cable Tv Service,Internet
1871,Comcast Continues To Bill Me Though I Canceled Months Ago,Billing
1872,Billing & Internet Service Issues With Comcast In Seattle Wa,Internet
1873,Comcast Repeatedly Failing To Install Internet Service,Internet
1874,Slow Internet Speed,Internet
1875,Comcast'S Egregious Billing Techniques,Billing
1876,Comcast'S Unfair Billing Practices,Billing
1877,Slow Internet,Internet
1878,"Slow Routing, Dropped Packets",Other
1879,Comcast Re-Escalation Of Case # Esl01877347 - Orr,Other
1880,Comcast No Show'S,Other
1881,Fraudulent Billing,Billing
1882,Internet Connectivity,Internet
1883,Data Usage Meter,Network
1884,Comcast Data Usage Meter,Network
1885,Comcast/Xfinity Internet Data Cap,Internet
1886,"Threat Of Shutting Off Service Of Phone,Internet And Tv",Internet
1887,Comcast Data Usage Plan Limit,Network
1888,Bad Service/ Please Help,Network
1889,Improper Modems,Internet
1890,Comcast Blocking Hbo Go On Playstation,Other
1891,Comcast Run Around,Other
1892,Multiple Unauthorized And Unwarranted Credit Checks,Internet
1893,Comcast Cable Billing Fraud,Internet
1894,Comcast Billing Past Disconnection Time,Internet
1895,Comcast Will Not Allow Me To Cancel My Internet Service.,Internet
1896,Dsl,Internet
1897,Contract,Billing
1898,Comcast Over Charging,Billing
1899,Access Issues Have Returned,Internet
1900,Comcast Internet Service,Internet
1901,Email Sdervice,Email
1902,Complaint Against Comcast,Grievance
1903,Internet Speed,Internet
1904,Comcast Internet Complaint,Internet
1905,Comcast Service Agreement,Network
1906,Comcast Service,Network
1907,Comcast 300Gb Cap,Network
1908,Internet Essentials,Internet
1909,Cap Complaints,Network
1910,Comcast Data Caps,Network
1911,Continue To Be Scared By Comcast,Other
1912,Price Plans,Billing
1913,Complaint Against Comcast Corporation,Grievance
1914,Pricing Discrimination/ Monopolistic Behavior In An Oligopolistic Market,Billing
1915,Internet Much Slower Than Advertised,Internet
1916,Cheating In Bundle Service Pricing,Billing
1917,Deceptive Business Practices By Comcast,Other
1918,Comcast,Other
1919,Comcast Monopoly And Abuse,Other
1920,Comcast Billing,Billing
1921,Billing,Billing
1922,Comcast Billing And Account Issues,Billing
1923,Comcast Rate,Billing
1924,Comcast Service And Customer Service,Network
1925,Comcast Data Cap,Network
1926,Comcast Internet Service,Internet
1927,Fcc.Gov Website For Complaints,Grievance
1928,Comcast Billing Complaint,Billing
1929,Denial Of Service,Network
1930,"Internet Help @ , South Lyon, Mi 48178",Internet
1931,"Internet Help @ , South Lyon, Mi 48178",Internet
1932,Very Low Wireless Speed Not Working Well,Internet
1933,Internet Service From Comcast,Internet
1934,Comcast,Other
1935,Data Usage Cap,Network
1936,Charged For Data Not Actually Used,Billing
1937,Charged For Data Not Actually Used,Billing
1938,Data Overage Charges,Billing
1939,Poor Internet,Internet
1940,Speed,Internet
1941,Billing Issues,Billing
1942,"Fraudulent Billing, Erroneous Billing, Overbilling",Billing
1943,Xfinity Customer Service,Network
1944,Internet Price,Internet
1945,Comcast Throttling My High-Speed Internet,Internet
1946,Slow Internet / Over Charged Billing,Internet
1947,No Internet Available Since A Comcast Techinitian Did An Intervention To Change Plans,Internet
1948,Comcast Xfinity Monopoly Abuses,Other
1949,Comcast Billing Support And Practices,Billing
1950,Extremely Poor Customer Service,Network
1951,Interrnet Service,Network
1952,Comcast,Other
1953,Comcast Cable And Internet,Internet
1954,Comcast,Other
1955,Comcast,Other
1956,Comcast Accourt,Other
1957,Availabilty,Network
1958,Comcast Internet Services,Internet
1959,Unfair Billing Practices By Comcast Xfinity,Billing
1960,Unfair Billing Practices,Billing
1961,Incorrect Billing Of Non-Rented Equipment,Internet
1962,Paying For Hi Speed Internet 105 Mbps,Internet
1963,"Comcast Internet, Being Charged Full Price For Partial Service",Internet
1964,Poor Quality Service And Broken Promises,Network
1965,Monthly Rate Confusion & Poor Customer Support,Billing
1966,Billing Complaint - Comcast Digital Phone/Internet Service,Internet
1967,Comcast (Xfinity) Internet Service,Internet
1968,Cant Cancel Internet On Sundays?,Internet
1969,Internet Speeds,Internet
1970,Comcast - Hbo - Ps3,Other
1971,Over Charged For Service Never Received,Billing
1972,Comcast,Other
1973,Billing Issues,Billing
1974,Internet Speeds Not As Advertised. Bandwith Not Available As Advertised,Internet
1975,Comcast Xfinity Deceptive Billing Practices,Billing
1976,Xfiniti Account,Other
1977,Excessive Early Termination Fees Due Immediately After 10+ Years Of Service,Billing
1978,Comcast Complaint,Grievance
1979,"Comcast Forcing Me To Purchase Cable Tv, Only Want Internet",Internet
1980,Installed On 4/26 Still Not Working,Other
1981,Comcast / Xfinity Billing Issue,Billing
1982,Xfinity Security System,Other
1983,Billing Overcharging Issues By Comcast,Billing
1984,Internet Speed Cut In Half With No Notification,Internet
1985,Internet Access,Internet
1986,Data Caps,Network
1987,Comcast Data Cap,Network
1988,Complaint#67455,Grievance
1989,Bad Interner Speeds And Access,Internet
1990,Billing Practices,Billing
1991,Fraud,Other
1992,Billing,Billing
1993,No Email Service From Comcast,Network
1994,Service Quality,Network
1995,No Internet Service,Internet
1996,Complaint About Comcast/Xfinity,Grievance
1997,Comcast- Unfair Pricing,Billing
1998,High Speed Internet Access,Internet
1999,Internet Being Throttled,Internet
2000,No Internet Service For More Than 20 Days,Internet
2001,Paying For Service For 12 Months Without Recieving The Service,Billing
2002,Internet Outage,Internet
2003,Comcast Data Cap,Network
2004,Continuous Internet Problems.,Internet
2005,Billing - Comcast,Billing
2006,Comcast Refusing To Fix Connectivity Issues,Other
2007,Comcast Charged Me Higher Than Quoted On The Phone,Billing
2008,Misleading And Deceptive Sale Of Internet Service,Internet
2009,Comcast Refund And Discontinue Service Billing,Billing
2010,Comcast Service And Pricing,Billing
2011,Billed For Services Not Ordered Or Recieved,Billing
2012,Xfinity/Comcast Throttles Bandwidth Way Below Contract Level,Internet
2013,Comcast Data Usage Limit In Atlanta,Network
2014,Comcast Data Caps,Network
2015,Comcast Internet,Internet
2016,Recent Fines To At&T And Possibly...,Other
2017,Predatory Monopolistic Pricing,Billing
2018,Outrageous Comcast Charges,Billing
2019,Price Fixing And Monopolistic Behaivor,Billing
2020,Customer Service,Network
2021,Bills/Identity,Billing
2022,"I Pay For 50 Mbps, Get 10 At Best",Billing
2023,Poor Service From Xfinity,Network
2024,Comcast Practices/ Billing,Billing
