Complaint Catagory,clean
Billing,billing practices
Other,fraud
Billing,billing
Network,no email service from comcast
Network,service quality
Internet,no internet service
Grievance,complaint about comcastxfinity
Billing,comcast- unfair pricing
Internet,high speed internet access
Internet,internet being throttled
Internet,no internet service for more than 20 days
Billing,paying for service for 12 months without recieving the service
Internet,internet outage
Network,comcast data cap
Internet,continuous internet problems
Billing,billing - comcast
Other,comcast refusing to fix connectivity issues
Billing,comcast charged me higher than quoted on the phone
Internet,misleading and deceptive sale of internet service
Billing,comcast refund and discontinue service billing
Billing,comcast service and pricing
Billing,billed for services not ordered or recieved
Internet,xfinitycomcast throttles bandwidth way below contract level
Network,comcast data usage limit in atlanta
Network,comcast data caps
Internet,comcast internet
Other,recent fines to at t and possibly
Billing,predatory monopolistic pricing
Billing,outrageous comcast charges
Billing,price fixing and monopolistic behaivor
Network,customer service
Billing,billsidentity
Billing,i pay for 50 mbps get 10 at best
Network,poor service from xfinity
Billing,comcast practices billing
Internet,comcast cable
Grievance,complaint regarding comcast
Internet,intermittent internet
Internet,unreliable connection
Internet,unreliable connection
Other,comcast is awful
Billing,comcast billing
Billing,tallahassee comcast rates high without competition
Network,60 day delay in cancelling service agreement
Billing,unfair billing practices
Internet,internet speed
Internet,comcast internet issue
Other,xfinity issues
Billing,back to back bill
Internet,loss of signal several times a day very slow connectivity very often several issues with television also not just internet
Billing,poor servicepaying for unusable services
Other,scam concerning ham license register book
Billing,comcast bill doubled without notice
Grievance,comcast complaint
Other,comcast bars hbogo from streaming to purchased device of my choosing ps4
Internet,internet services
Billing,comcast charges in violation of contract
Network,someone at comcast added services without me knowing
Billing,comcast wo nt pay me my refund
Internet,data caps for broadband internet
Billing,comcast had said i had a credit but then issued a regular bill
Other,comcast
Billing,why am i paying for this
Network,comcast service complaint
Grievance,complaint about comcast
Grievance,comcast complaint
Billing,comcast is inaccurately measuring bandwidth consumption
Network,data capping and lack of options in tucson az
Internet,poor internet service
Billing,comcast is changing my paper bill to ecobill without my consent
Internet,internet overage charges
Billing,improper billingservices
Network,data caps
Network,data caps
Internet,comcast unlimited internet access recently limited to 300gb per month
Other,deceptive advertising
Network,comcast data capmeter
Network,data cap
Network,comcast data metercap
Billing,comcast service and billing
Network,data limits
Internet,tucson comcast data caps on internet service
Network,data cap
Internet,home internet data caps
Network,comcast falsely claims service is provided in neighborhood
Network,data usage cap with comcast xfinity
Other,comcast monopoly
Network,comcast data usage plan trial
Internet,comcast slowing internet speeds intentionally
Network,xfinity data caps
Internet,comcast data caps and throttling
Billing,increased monthly fee on 3 year contract
Billing,installation fee
Other,comcast issues do nt get resolved
Network,data cap
Other,shitty comcast
Network,shitty comcast service
Billing,terrible pricing for only one viable option
Billing,unfair billing practice and services
Internet,pay 2500 for cable line
Network,inability to get service transferred
Network,poor service or no service
Internet,access to service
Internet,speed consistently 125 of speed paid for
Internet,comcast throttling internet
Internet,slow internet
Internet,comcast internet service
Billing,incorrect billing
Other,comcast xfinity
Billing,comcast fraudulent charges
Billing,re unfair billing practices complaints against comcast
Internet,my comcast bill for internetcablephone service
Network,monopolist power of comcast in my service area
Other,comcastxfinity communication
Internet,no internet
Internet,comcast-non existent customer service terrible internet connection
Internet,slow download and upload speeds
Other,repeatedly have been promised installations without anyone arriving or notifying
Internet,comcast internet
Internet,internet speeds are wacko
Billing,unresolved comcast fraudulent billing
Internet,comcast internet service
Email,comcast email acess
Internet,internet service loses signal
Billing,comcast bill
Network,horrible customer service bad service
Network,comcast no service hung up on 3 in person attempts by technician and all were no show with no call back
Internet,inexplicable disconnection subsequent mishandling
Billing,comcast billing issue
Internet,comcast internet service
Billing,billing complaint
Billing,credit on bill and change of service request
Internet,internet speed
Grievance,false sales offers
Other,incorrect disclosure
Billing,paying for 50mbs and getting 26mbs
Network,comcast misleading hsi customers
Internet,throttling of comcast internet services
Billing,billing
Billing,unfair and monopolistic billing practices
Other,comcastxfinity
Internet,comcast internet
Internet,broadband internet malfeasance by comcast
Internet,comcast speeds as low as 12 mbs paying for 105 mbs and they wont figure it out
Internet,lack of isp choice
Billing,failure to provide service while still billing
Internet,slow internet speeds
Billing,monopolies mean high prices and mediocre service
Internet,internet speed
Grievance,complaint 2 no resolution please help thank you
Billing,comcast is charging consumer too much
Other,comcast slowing down netflix
Billing,comcast excessive charge when cancelling service
Network,fradulent services
Network,comcast refusal of service
Grievance,comcast is not my complaint cyber tele-marketing is my complaint
Billing,comcast asking for interstructure fee
Network,deceptive trade practices false advertising and bait and switch
Billing,billing issues
Other,failure to show for an appointment and lying
Billing,over sold over billed for short term services
Internet,misrepresentation of internet speed
Other,comcast home security system
Network,comcast transfer of service complaint
Other,i have been asking to speak with a supervisor every day for the last five weeks
Internet,comcast is giving out wrong information accusing people and increasing equipment prices when contract says price will stay the same for 2 years
Billing,unauthorized charges to my account by comcast
Internet,comcast charge my own router as unreturned equipment
Internet,internet uasgeoverage
Billing,egregious fees
Internet,cramming false internet promotion speed complaint
Billing,comcast data cap overage fees
Other,comcast committing extortion
Other,comcast
Billing,overbilled
Internet,comcast business internet
Billing,monthly bill increased service decreased
Internet,promised speeds
Other,comcast
Internet,data caps for cable isp s
Other,comcast
Internet,youtube being throttled
Other,comcast xfinity
Internet,internet speed
Other,comcast will not help us please help
Other,comcast failing to show up to scheduled appointment
Billing,comcast sales people not reflect what they said in the bill
Internet,slow internet service
Internet,internet provider
Internet,slow internet
Other,comcast
Network,comcast cramming
Billing,over payment
Internet,xfinitycomcast cable
Internet,throttling internet
Billing,billing continues for 2 months after terminating service
Network,data usage caps
Billing,comcast charges
Internet,comcast xfinity internet service
Other,comcast
Billing,monopolistic billing practices
Outages,comcast outage
Billing,unfair pricing
Billing,unreasonable billing
Billing,xfinity corporate bullying breach of contract
Grievance,i am so fed up with comcast
Internet,terrible internet service from comcast
Billing,comcast cramming services i did nt ask for to raise my bill
Billing,comcast over charge
Billing,charged for no seevice
Internet,comcast xfintity internet data caps
Billing,miss represented and over charged now
Network,comcst data cap
Internet,inconsistent and intermittent internet connectivity
Billing,comcast will not refund or reimburse significant overcharges they admit to
Billing,lied to about install costs
Internet,issues with comcast billing and equipment
Internet,comcast internet
Network,comcast cap
Network,false advertisingbait and switch
Billing,comcast customer service and billing issues
Other,comcast
Internet,internet services
Billing,i had sent out a check payment comcast
Internet,comcast internet service quality
Billing,comcast unfair pricing
Internet,high internet cable bill
Internet,problems with internet service
Internet,speed throttling speeds not at promised output
Network,service availability
Internet,comcast monthly billing for returned modem
Grievance,complaint about comcast
Network,extremely unsatisfied comcast customer
Internet,comcast ypsilanti mi internet speed
